类型,链接,标题,内容
Definition,https://statproofbook.github.io//D/exp,Definition,
Proof,https://statproofbook.github.io//P/exp-gam,Special case of gamma distribution,
Proof,https://statproofbook.github.io//P/exp-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/exp-cdf,Cumulative distribution function,
Proof,https://statproofbook.github.io//P/exp-qf,Quantile function,
Proof,https://statproofbook.github.io//P/exp-mean,Mean,
Proof,https://statproofbook.github.io//P/exp-med,Median,
Proof,https://statproofbook.github.io//P/exp-mode,Mode,
Proof,https://statproofbook.github.io//P/exp-var,Variance,
Definition,https://statproofbook.github.io//D/lognorm,Definition,
Proof,https://statproofbook.github.io//P/lognorm-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/lognorm-cdf,Cumulative distribution function,
Proof,https://statproofbook.github.io//P/lognorm-qf,Quantile function,
Proof,https://statproofbook.github.io//P/lognorm-mean,Mean,
Proof,https://statproofbook.github.io//P/lognorm-med,Median,
Proof,https://statproofbook.github.io//P/lognorm-mode,Mode,
Proof,https://statproofbook.github.io//P/lognorm-var,Variance,
Definition,https://statproofbook.github.io//D/chi2,Definition,
Proof,https://statproofbook.github.io//P/chi2-gam,Special case of gamma distribution,
Proof,https://statproofbook.github.io//P/chi2-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/chi2-mom,Moments,
Definition,https://statproofbook.github.io//D/f,Definition,
Proof,https://statproofbook.github.io//P/f-pdf,Probability density function,
Definition,https://statproofbook.github.io//D/beta,Definition,
Proof,https://statproofbook.github.io//P/beta-chi2,Relationship to chi-squared distribution,
Proof,https://statproofbook.github.io//P/beta-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/beta-mgf,Moment-generating function,
Proof,https://statproofbook.github.io//P/beta-cdf,Cumulative distribution function,
Proof,https://statproofbook.github.io//P/beta-mean,Mean,
Proof,https://statproofbook.github.io//P/beta-var,Variance,
Definition,https://statproofbook.github.io//D/wald,Definition,
Proof,https://statproofbook.github.io//P/wald-pdf,Probability density function,
